time_iso8601,stars_cumulative
2014-05-23 00:00:00+00:00,1
2014-07-12 00:00:00+00:00,2
2014-08-07 00:00:00+00:00,3
2014-10-06 00:00:00+00:00,4
2014-10-24 00:00:00+00:00,5
2014-11-04 00:00:00+00:00,6
2014-11-11 00:00:00+00:00,7
2014-12-02 00:00:00+00:00,8
2014-12-26 00:00:00+00:00,9
2015-03-25 00:00:00+00:00,10
2015-04-10 00:00:00+00:00,11
2015-04-14 00:00:00+00:00,12
2015-07-14 00:00:00+00:00,13
2015-09-10 00:00:00+00:00,14
2015-10-07 00:00:00+00:00,15
2015-11-07 00:00:00+00:00,16
2016-05-28 00:00:00+00:00,17
2016-06-11 00:00:00+00:00,18
2017-11-13 00:00:00+00:00,19
2018-01-26 00:00:00+00:00,20
2018-09-20 00:00:00+00:00,21
2020-10-09 00:00:00+00:00,22
2020-10-16 00:00:00+00:00,23
2021-01-14 00:00:00+00:00,24
2021-01-24 00:00:00+00:00,25
2021-04-12 00:00:00+00:00,26
2021-07-28 00:00:00+00:00,27
2021-11-12 00:00:00+00:00,28
2022-04-19 00:00:00+00:00,29
2022-05-23 00:00:00+00:00,30
2022-07-14 00:00:00+00:00,31
2022-11-27 00:00:00+00:00,32
