time_iso8601,forks_cumulative
2011-09-22 00:00:00+00:00,1
2011-12-03 00:00:00+00:00,2
2011-12-04 00:00:00+00:00,3
2012-01-02 00:00:00+00:00,4
2012-01-26 00:00:00+00:00,5
2012-02-14 00:00:00+00:00,6
2012-02-15 00:00:00+00:00,7
2012-02-24 00:00:00+00:00,8
2012-03-02 00:00:00+00:00,9
2012-03-23 00:00:00+00:00,10
2012-03-24 00:00:00+00:00,11
2012-03-28 00:00:00+00:00,12
2012-03-31 00:00:00+00:00,13
2012-04-20 00:00:00+00:00,14
2012-04-26 00:00:00+00:00,15
2012-05-02 00:00:00+00:00,16
2012-05-08 00:00:00+00:00,17
2012-06-15 00:00:00+00:00,18
2012-07-11 00:00:00+00:00,19
2012-07-25 00:00:00+00:00,20
2012-07-31 00:00:00+00:00,21
2012-08-16 00:00:00+00:00,22
2012-08-17 00:00:00+00:00,23
2012-09-08 00:00:00+00:00,24
2012-09-13 00:00:00+00:00,25
2012-10-01 00:00:00+00:00,26
2012-10-04 00:00:00+00:00,27
2012-10-07 00:00:00+00:00,28
2012-10-15 00:00:00+00:00,29
2012-10-21 00:00:00+00:00,30
2012-10-22 00:00:00+00:00,31
2012-10-30 00:00:00+00:00,32
2012-11-02 00:00:00+00:00,33
2012-11-05 00:00:00+00:00,34
2012-11-07 00:00:00+00:00,35
2012-11-09 00:00:00+00:00,36
2012-11-15 00:00:00+00:00,38
2012-11-16 00:00:00+00:00,39
2012-11-17 00:00:00+00:00,40
2012-12-03 00:00:00+00:00,41
2012-12-12 00:00:00+00:00,42
2012-12-22 00:00:00+00:00,43
2012-12-28 00:00:00+00:00,44
2013-01-02 00:00:00+00:00,45
2013-01-03 00:00:00+00:00,48
2013-01-08 00:00:00+00:00,49
2013-01-11 00:00:00+00:00,50
2013-01-16 00:00:00+00:00,51
2013-01-21 00:00:00+00:00,52
2013-01-23 00:00:00+00:00,54
2013-01-24 00:00:00+00:00,55
2013-02-03 00:00:00+00:00,56
2013-02-20 00:00:00+00:00,57
2013-03-08 00:00:00+00:00,58
2013-03-12 00:00:00+00:00,59
2013-03-16 00:00:00+00:00,60
2013-03-20 00:00:00+00:00,61
2013-03-22 00:00:00+00:00,62
2013-04-07 00:00:00+00:00,63
2013-04-08 00:00:00+00:00,64
2013-04-09 00:00:00+00:00,65
2013-04-12 00:00:00+00:00,66
2013-04-17 00:00:00+00:00,67
2013-05-22 00:00:00+00:00,69
2013-06-02 00:00:00+00:00,70
2013-06-06 00:00:00+00:00,71
2013-06-07 00:00:00+00:00,72
2013-06-11 00:00:00+00:00,73
2013-06-19 00:00:00+00:00,74
2013-06-20 00:00:00+00:00,75
2013-07-08 00:00:00+00:00,76
2013-07-09 00:00:00+00:00,77
2013-07-17 00:00:00+00:00,78
2013-07-19 00:00:00+00:00,79
2013-07-24 00:00:00+00:00,80
2013-07-29 00:00:00+00:00,81
2013-08-09 00:00:00+00:00,82
2013-08-10 00:00:00+00:00,83
2013-08-11 00:00:00+00:00,84
2013-08-14 00:00:00+00:00,85
2013-08-31 00:00:00+00:00,86
2013-09-01 00:00:00+00:00,87
2013-09-04 00:00:00+00:00,88
2013-09-13 00:00:00+00:00,90
2013-09-15 00:00:00+00:00,91
2013-09-22 00:00:00+00:00,92
2013-10-10 00:00:00+00:00,93
2013-10-18 00:00:00+00:00,94
2013-10-30 00:00:00+00:00,95
2013-11-05 00:00:00+00:00,96
2013-11-21 00:00:00+00:00,97
2013-12-02 00:00:00+00:00,98
2013-12-03 00:00:00+00:00,99
2013-12-13 00:00:00+00:00,100
2014-01-08 00:00:00+00:00,101
2014-01-09 00:00:00+00:00,102
2014-01-14 00:00:00+00:00,104
2014-01-18 00:00:00+00:00,105
2014-01-21 00:00:00+00:00,106
2014-01-22 00:00:00+00:00,107
2014-01-28 00:00:00+00:00,109
2014-01-30 00:00:00+00:00,110
2014-02-02 00:00:00+00:00,111
2014-02-10 00:00:00+00:00,112
2014-02-22 00:00:00+00:00,113
2014-02-24 00:00:00+00:00,115
2014-03-04 00:00:00+00:00,116
2014-03-05 00:00:00+00:00,117
2014-03-06 00:00:00+00:00,119
2014-03-09 00:00:00+00:00,120
2014-03-11 00:00:00+00:00,122
2014-03-15 00:00:00+00:00,123
2014-03-19 00:00:00+00:00,124
2014-03-20 00:00:00+00:00,125
2014-03-31 00:00:00+00:00,126
2014-04-01 00:00:00+00:00,127
2014-04-04 00:00:00+00:00,128
2014-04-06 00:00:00+00:00,129
2014-04-10 00:00:00+00:00,130
2014-04-14 00:00:00+00:00,131
2014-04-21 00:00:00+00:00,132
2014-04-25 00:00:00+00:00,133
2014-04-27 00:00:00+00:00,134
2014-05-05 00:00:00+00:00,135
2014-05-14 00:00:00+00:00,136
2014-05-16 00:00:00+00:00,138
2014-05-18 00:00:00+00:00,139
2014-05-21 00:00:00+00:00,140
2014-05-23 00:00:00+00:00,142
2014-05-28 00:00:00+00:00,143
2014-06-03 00:00:00+00:00,145
2014-06-10 00:00:00+00:00,146
2014-06-12 00:00:00+00:00,147
2014-06-20 00:00:00+00:00,148
2014-06-23 00:00:00+00:00,149
2014-06-24 00:00:00+00:00,150
2014-06-26 00:00:00+00:00,151
2014-07-06 00:00:00+00:00,152
2014-07-11 00:00:00+00:00,153
2014-07-12 00:00:00+00:00,154
2014-07-20 00:00:00+00:00,155
2014-07-21 00:00:00+00:00,156
2014-07-25 00:00:00+00:00,157
2014-07-31 00:00:00+00:00,158
2014-08-01 00:00:00+00:00,159
2014-08-03 00:00:00+00:00,160
2014-08-05 00:00:00+00:00,161
2014-08-08 00:00:00+00:00,163
2014-08-12 00:00:00+00:00,164
2014-08-13 00:00:00+00:00,166
2014-08-17 00:00:00+00:00,167
2014-08-20 00:00:00+00:00,168
2014-08-29 00:00:00+00:00,169
2014-08-30 00:00:00+00:00,170
2014-09-01 00:00:00+00:00,172
2014-09-04 00:00:00+00:00,173
2014-09-09 00:00:00+00:00,174
2014-09-26 00:00:00+00:00,175
2014-09-30 00:00:00+00:00,176
2014-10-24 00:00:00+00:00,177
2014-10-26 00:00:00+00:00,178
2014-10-29 00:00:00+00:00,179
2014-10-31 00:00:00+00:00,180
2014-11-11 00:00:00+00:00,181
2014-11-13 00:00:00+00:00,182
2014-11-14 00:00:00+00:00,183
2014-11-19 00:00:00+00:00,184
2014-11-26 00:00:00+00:00,185
2014-12-03 00:00:00+00:00,186
2014-12-04 00:00:00+00:00,187
2014-12-07 00:00:00+00:00,188
2014-12-11 00:00:00+00:00,189
2014-12-18 00:00:00+00:00,190
2014-12-21 00:00:00+00:00,191
2015-01-08 00:00:00+00:00,192
2015-01-24 00:00:00+00:00,193
2015-02-10 00:00:00+00:00,194
2015-02-27 00:00:00+00:00,195
2015-03-02 00:00:00+00:00,196
2015-03-06 00:00:00+00:00,197
2015-03-13 00:00:00+00:00,198
2015-03-23 00:00:00+00:00,199
2015-03-24 00:00:00+00:00,200
2015-04-06 00:00:00+00:00,201
2015-04-09 00:00:00+00:00,202
2015-04-10 00:00:00+00:00,203
2015-04-12 00:00:00+00:00,204
2015-04-13 00:00:00+00:00,205
2015-04-17 00:00:00+00:00,206
2015-04-24 00:00:00+00:00,207
2015-05-03 00:00:00+00:00,208
2015-05-08 00:00:00+00:00,210
2015-05-18 00:00:00+00:00,212
2015-05-23 00:00:00+00:00,213
2015-05-30 00:00:00+00:00,214
2015-05-31 00:00:00+00:00,215
2015-06-04 00:00:00+00:00,216
2015-06-13 00:00:00+00:00,217
2015-06-15 00:00:00+00:00,218
2015-06-16 00:00:00+00:00,219
2015-06-17 00:00:00+00:00,220
2015-06-21 00:00:00+00:00,221
2015-06-24 00:00:00+00:00,222
2015-06-28 00:00:00+00:00,223
2015-07-07 00:00:00+00:00,224
2015-07-08 00:00:00+00:00,225
2015-07-09 00:00:00+00:00,226
2015-07-20 00:00:00+00:00,227
2015-07-24 00:00:00+00:00,228
2015-07-27 00:00:00+00:00,229
2015-07-28 00:00:00+00:00,230
2015-08-03 00:00:00+00:00,232
2015-08-05 00:00:00+00:00,233
2015-08-18 00:00:00+00:00,234
2015-09-01 00:00:00+00:00,235
2015-09-16 00:00:00+00:00,237
2015-09-28 00:00:00+00:00,238
2015-10-06 00:00:00+00:00,239
2015-10-10 00:00:00+00:00,240
2015-10-12 00:00:00+00:00,241
2015-10-20 00:00:00+00:00,242
2015-10-21 00:00:00+00:00,243
2015-10-22 00:00:00+00:00,244
2015-10-31 00:00:00+00:00,245
2015-11-06 00:00:00+00:00,246
2015-11-08 00:00:00+00:00,248
2015-11-24 00:00:00+00:00,249
2015-12-02 00:00:00+00:00,251
2015-12-03 00:00:00+00:00,252
2015-12-04 00:00:00+00:00,253
2015-12-16 00:00:00+00:00,255
2015-12-23 00:00:00+00:00,256
2016-01-01 00:00:00+00:00,257
2016-01-06 00:00:00+00:00,258
2016-01-14 00:00:00+00:00,259
2016-01-17 00:00:00+00:00,261
2016-01-19 00:00:00+00:00,262
2016-01-20 00:00:00+00:00,263
2016-01-21 00:00:00+00:00,264
2016-01-23 00:00:00+00:00,265
2016-01-24 00:00:00+00:00,266
2016-01-27 00:00:00+00:00,267
2016-02-15 00:00:00+00:00,269
2016-02-23 00:00:00+00:00,270
2016-02-24 00:00:00+00:00,272
2016-02-29 00:00:00+00:00,273
2016-03-08 00:00:00+00:00,274
2016-03-16 00:00:00+00:00,275
2016-03-17 00:00:00+00:00,276
2016-03-24 00:00:00+00:00,278
2016-04-06 00:00:00+00:00,279
2016-04-07 00:00:00+00:00,280
2016-04-08 00:00:00+00:00,281
2016-04-14 00:00:00+00:00,282
2016-04-17 00:00:00+00:00,283
2016-04-18 00:00:00+00:00,284
2016-05-03 00:00:00+00:00,285
2016-05-05 00:00:00+00:00,286
2016-05-12 00:00:00+00:00,287
2016-05-13 00:00:00+00:00,289
