time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,35,26,42,10
2025-03-09 00:00:00+00:00,22,16,12,10
2025-03-10 00:00:00+00:00,6,6,74,30
2025-03-11 00:00:00+00:00,4,4,142,36
2025-03-12 00:00:00+00:00,6,4,111,37
2025-03-13 00:00:00+00:00,9,6,70,39
2025-03-14 00:00:00+00:00,2,2,75,33
2025-03-15 00:00:00+00:00,7,4,34,12
2025-03-16 00:00:00+00:00,7,5,34,18
2025-03-17 00:00:00+00:00,9,8,58,31
2025-03-18 00:00:00+00:00,5,4,83,40
2025-03-19 00:00:00+00:00,1,1,86,35
2025-03-20 00:00:00+00:00,1,1,78,31
2025-03-21 00:00:00+00:00,2,2,78,35
