url_path,views_total,views_unique
/gitblit-org/gitblit,133,95
/gitblit-org/gitblit/releases,55,42
/gitblit-org/gitblit/releases/tag/v1.10.0,15,13
/gitblit-org/gitblit/discussions,8,5
/gitblit-org/gitblit/blob/master/releases.moxie,7,7
/gitblit-org/gitblit/issues,7,5
/gitblit-org/gitblit/issues/1181,6,6
/gitblit-org/gitblit/blob/569d430f299b51b203bce88bc4c8e866a8bd009b/src/main/java/com/gitblit/utils/RpcUtils.java,5,1
/gitblit-org/gitblit/blob/master/src/main/distrib/data/groovy/fisheye.groovy,5,1
/gitblit-org/gitblit/issues/1174,4,4
