time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-13 00:00:00+00:00,2.0,1.0,9.0,3.0
2021-11-14 00:00:00+00:00,8.0,4.0,9.0,2.0
2021-11-15 00:00:00+00:00,,,1.0,1.0
2021-11-16 00:00:00+00:00,1.0,1.0,3.0,2.0
2021-11-17 00:00:00+00:00,1.0,1.0,,
2021-11-18 00:00:00+00:00,1.0,1.0,6.0,3.0
2021-11-20 00:00:00+00:00,,,7.0,1.0
2021-11-21 00:00:00+00:00,,,2.0,1.0
2021-11-22 00:00:00+00:00,1.0,1.0,4.0,2.0
2021-11-23 00:00:00+00:00,2.0,2.0,,
2021-11-25 00:00:00+00:00,1.0,1.0,1.0,1.0
2021-11-26 00:00:00+00:00,,,3.0,2.0
