time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-03 00:00:00+00:00,0,0,3,1
2021-11-04 00:00:00+00:00,0,0,17,3
2021-11-05 00:00:00+00:00,1,1,2,1
2021-11-08 00:00:00+00:00,0,0,17,1
2021-11-09 00:00:00+00:00,0,0,18,2
2021-11-10 00:00:00+00:00,0,0,1,1
2021-11-11 00:00:00+00:00,1,1,7,3
2021-11-12 00:00:00+00:00,4,3,17,3
2021-11-13 00:00:00+00:00,2,1,9,3
2021-11-14 00:00:00+00:00,8,4,9,2
2021-11-15 00:00:00+00:00,0,0,1,1
2021-11-16 00:00:00+00:00,1,1,3,2
2021-11-17 00:00:00+00:00,1,1,0,0
2021-11-18 00:00:00+00:00,1,1,6,3
2021-11-20 00:00:00+00:00,0,0,7,1
2021-11-21 00:00:00+00:00,0,0,2,1
2021-11-22 00:00:00+00:00,1,1,4,2
2021-11-23 00:00:00+00:00,2,2,0,0
2021-11-25 00:00:00+00:00,1,1,1,1
2021-11-26 00:00:00+00:00,0,0,3,2
2021-11-27 00:00:00+00:00,0,0,2,1
2021-11-28 00:00:00+00:00,0,0,2,2
2021-11-29 00:00:00+00:00,0,0,4,2
2021-11-30 00:00:00+00:00,0,0,1,1
2021-12-01 00:00:00+00:00,0,0,3,1
2021-12-02 00:00:00+00:00,2,2,9,4
2021-12-03 00:00:00+00:00,0,0,4,4
2021-12-04 00:00:00+00:00,2,1,0,0
2021-12-05 00:00:00+00:00,0,0,1,1
2021-12-06 00:00:00+00:00,5,1,4,3
2021-12-07 00:00:00+00:00,0,0,13,2
2021-12-08 00:00:00+00:00,0,0,6,2
2021-12-09 00:00:00+00:00,0,0,6,2
2021-12-10 00:00:00+00:00,1,1,5,1
2021-12-12 00:00:00+00:00,0,0,12,4
2021-12-13 00:00:00+00:00,0,0,1,1
2021-12-14 00:00:00+00:00,0,0,5,2
2021-12-15 00:00:00+00:00,1,1,3,1
2021-12-16 00:00:00+00:00,0,0,2,2
2021-12-17 00:00:00+00:00,0,0,3,3
2021-12-20 00:00:00+00:00,0,0,7,2
2021-12-21 00:00:00+00:00,0,0,6,2
2021-12-23 00:00:00+00:00,0,0,2,1
2021-12-24 00:00:00+00:00,0,0,5,2
2021-12-26 00:00:00+00:00,0,0,5,1
2021-12-28 00:00:00+00:00,0,0,1,1
2021-12-29 00:00:00+00:00,0,0,6,2
2022-01-03 00:00:00+00:00,0,0,8,2
2022-01-05 00:00:00+00:00,2,1,2,1
2022-01-07 00:00:00+00:00,0,0,1,1
2022-01-09 00:00:00+00:00,0,0,2,2
2022-01-10 00:00:00+00:00,0,0,2,2
2022-01-11 00:00:00+00:00,0,0,1,1
2022-01-13 00:00:00+00:00,0,0,4,3
2022-01-14 00:00:00+00:00,0,0,1,1
2022-01-17 00:00:00+00:00,1,1,0,0
2022-01-18 00:00:00+00:00,0,0,2,1
2022-01-19 00:00:00+00:00,1,1,1,1
2022-01-20 00:00:00+00:00,0,0,2,1
2022-01-21 00:00:00+00:00,2,2,4,1
2022-01-22 00:00:00+00:00,1,1,1,1
2022-01-23 00:00:00+00:00,2,2,0,0
2022-01-24 00:00:00+00:00,0,0,47,3
2022-01-26 00:00:00+00:00,2,2,20,2
2022-01-27 00:00:00+00:00,1,1,1,1
2022-01-30 00:00:00+00:00,0,0,1,1
2022-01-31 00:00:00+00:00,0,0,2,1
2022-02-01 00:00:00+00:00,2,2,5,3
2022-02-02 00:00:00+00:00,1,1,0,0
2022-02-03 00:00:00+00:00,3,2,1,1
2022-02-05 00:00:00+00:00,4,3,0,0
2022-02-07 00:00:00+00:00,3,1,2,2
2022-02-08 00:00:00+00:00,1,1,3,3
2022-02-09 00:00:00+00:00,1,1,14,5
2022-02-10 00:00:00+00:00,1,1,0,0
2022-02-11 00:00:00+00:00,2,2,2,2
