url_path,views_total,views_unique
/gitblit/gitblit,319,213
/gitblit/gitblit/issues/1384,294,248
/gitblit/gitblit/tree/master/src/main/java/com/gitblit,193,40
/gitblit/gitblit/tree/master/src/main/java/com/gitblit/auth,151,26
/gitblit/gitblit/tree/master/src/main/java,107,48
/gitblit/gitblit/issues,77,38
/gitblit/gitblit/releases,76,56
/gitblit/gitblit/tree/master/src/main,76,40
/gitblit/gitblit/blob/master/src/main/java/com/gitblit/auth/AuthenticationProvider.java,73,17
/gitblit/gitblit/tree/master/src,67,41
