time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-07 00:00:00+00:00,4,4,100,50
2022-11-08 00:00:00+00:00,11,8,121,63
2022-11-09 00:00:00+00:00,10,10,253,74
2022-11-10 00:00:00+00:00,11,7,216,79
2022-11-11 00:00:00+00:00,6,5,233,65
2022-11-12 00:00:00+00:00,6,3,65,22
2022-11-13 00:00:00+00:00,2,1,54,19
2022-11-14 00:00:00+00:00,103,7,110,60
2022-11-15 00:00:00+00:00,452,5,169,67
2022-11-16 00:00:00+00:00,8,7,107,58
2022-11-17 00:00:00+00:00,2,2,198,81
2022-11-18 00:00:00+00:00,10,9,183,68
2022-11-19 00:00:00+00:00,1,1,109,31
2022-11-20 00:00:00+00:00,16,7,198,38
2022-11-21 00:00:00+00:00,8,1,72,8
