time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-02 00:00:00+00:00,2,2,187,51
2021-11-03 00:00:00+00:00,17,5,212,64
2021-11-04 00:00:00+00:00,3,2,218,58
2021-11-05 00:00:00+00:00,2,2,101,37
2021-11-06 00:00:00+00:00,3,3,33,14
2021-11-07 00:00:00+00:00,4,3,41,14
2021-11-08 00:00:00+00:00,5,5,132,53
2021-11-09 00:00:00+00:00,3,2,120,41
2021-11-10 00:00:00+00:00,4,3,127,56
2021-11-11 00:00:00+00:00,5,5,106,53
2021-11-12 00:00:00+00:00,1,1,173,48
2021-11-13 00:00:00+00:00,4,3,41,17
2021-11-14 00:00:00+00:00,1,1,159,31
2021-11-15 00:00:00+00:00,7,5,120,53
2021-11-16 00:00:00+00:00,5,4,248,59
2021-11-17 00:00:00+00:00,1,1,226,65
2021-11-18 00:00:00+00:00,12,6,342,54
2021-11-19 00:00:00+00:00,5,5,170,60
2021-11-20 00:00:00+00:00,0,0,81,28
2021-11-21 00:00:00+00:00,4,4,107,30
2021-11-22 00:00:00+00:00,3,3,122,74
2021-11-23 00:00:00+00:00,1,1,200,58
2021-11-24 00:00:00+00:00,4,4,266,62
2021-11-25 00:00:00+00:00,11,5,197,54
2021-11-26 00:00:00+00:00,2,2,222,54
2021-11-27 00:00:00+00:00,1,1,57,29
2021-11-28 00:00:00+00:00,3,3,46,24
2021-11-29 00:00:00+00:00,2,2,171,51
2021-11-30 00:00:00+00:00,4,4,142,64
2021-12-01 00:00:00+00:00,3,3,132,54
2021-12-02 00:00:00+00:00,20,8,167,61
2021-12-03 00:00:00+00:00,6,4,101,40
2021-12-04 00:00:00+00:00,2,2,54,21
2021-12-05 00:00:00+00:00,4,3,81,26
2021-12-06 00:00:00+00:00,14,7,134,59
2021-12-07 00:00:00+00:00,6,5,135,53
2021-12-08 00:00:00+00:00,4,4,148,51
2021-12-09 00:00:00+00:00,3,3,218,54
2021-12-10 00:00:00+00:00,1,1,172,55
2021-12-11 00:00:00+00:00,2,2,27,13
2021-12-12 00:00:00+00:00,1,1,94,26
2021-12-13 00:00:00+00:00,7,6,448,95
2021-12-14 00:00:00+00:00,5,5,567,95
2021-12-15 00:00:00+00:00,7,6,362,83
2021-12-16 00:00:00+00:00,5,4,172,70
2021-12-17 00:00:00+00:00,7,6,282,70
2021-12-18 00:00:00+00:00,3,3,71,24
2021-12-19 00:00:00+00:00,1,1,79,20
2021-12-20 00:00:00+00:00,2,2,168,58
2021-12-21 00:00:00+00:00,5,5,89,43
2021-12-22 00:00:00+00:00,2,2,163,54
2021-12-23 00:00:00+00:00,1,1,122,29
2021-12-24 00:00:00+00:00,4,4,91,37
2021-12-25 00:00:00+00:00,3,2,36,15
2021-12-26 00:00:00+00:00,2,2,55,13
2021-12-27 00:00:00+00:00,1,1,101,42
2021-12-28 00:00:00+00:00,4,3,141,47
2021-12-29 00:00:00+00:00,6,5,93,36
2021-12-30 00:00:00+00:00,3,3,68,47
2021-12-31 00:00:00+00:00,5,3,77,25
2022-01-01 00:00:00+00:00,4,4,40,12
2022-01-02 00:00:00+00:00,2,2,19,10
2022-01-03 00:00:00+00:00,1,1,112,38
2022-01-04 00:00:00+00:00,1,1,110,38
2022-01-05 00:00:00+00:00,4,3,150,60
2022-01-06 00:00:00+00:00,6,4,154,39
2022-01-07 00:00:00+00:00,3,2,70,39
2022-01-08 00:00:00+00:00,3,3,46,12
2022-01-09 00:00:00+00:00,3,3,71,21
2022-01-10 00:00:00+00:00,2,1,106,49
2022-01-11 00:00:00+00:00,3,3,187,66
2022-01-12 00:00:00+00:00,1,1,140,51
2022-01-13 00:00:00+00:00,5,5,93,48
2022-01-14 00:00:00+00:00,0,0,100,54
2022-01-15 00:00:00+00:00,16,7,64,15
2022-01-16 00:00:00+00:00,1,1,36,18
2022-01-17 00:00:00+00:00,8,7,152,52
2022-01-18 00:00:00+00:00,2,2,227,51
2022-01-19 00:00:00+00:00,2,2,118,55
2022-01-20 00:00:00+00:00,2,2,178,57
2022-01-21 00:00:00+00:00,3,3,90,46
2022-01-22 00:00:00+00:00,1,1,31,22
2022-01-23 00:00:00+00:00,2,2,30,19
2022-01-24 00:00:00+00:00,3,3,137,48
2022-01-25 00:00:00+00:00,4,4,107,55
2022-01-26 00:00:00+00:00,4,4,152,37
2022-01-27 00:00:00+00:00,2,2,128,53
2022-01-28 00:00:00+00:00,4,3,85,40
2022-01-29 00:00:00+00:00,3,3,43,18
2022-01-30 00:00:00+00:00,1,1,19,15
2022-01-31 00:00:00+00:00,0,0,59,34
2022-02-01 00:00:00+00:00,11,5,111,41
2022-02-02 00:00:00+00:00,6,3,72,40
2022-02-03 00:00:00+00:00,5,3,140,49
2022-02-04 00:00:00+00:00,1,1,88,58
2022-02-05 00:00:00+00:00,33,9,63,20
2022-02-06 00:00:00+00:00,23,5,97,31
2022-02-07 00:00:00+00:00,7,6,292,82
2022-02-08 00:00:00+00:00,1,1,158,78
2022-02-09 00:00:00+00:00,6,6,549,175
2022-02-10 00:00:00+00:00,5,4,368,149
2022-02-11 00:00:00+00:00,6,5,323,92
2022-02-12 00:00:00+00:00,4,3,82,32
2022-02-13 00:00:00+00:00,3,3,108,26
2022-02-14 00:00:00+00:00,2,2,260,97
2022-02-15 00:00:00+00:00,3,3,220,96
2022-02-16 00:00:00+00:00,2,2,181,61
2022-02-17 00:00:00+00:00,4,3,246,75
2022-02-18 00:00:00+00:00,2,2,159,72
2022-02-19 00:00:00+00:00,3,2,79,35
2022-02-20 00:00:00+00:00,1,1,83,37
2022-02-21 00:00:00+00:00,7,6,214,107
2022-02-22 00:00:00+00:00,9,6,245,80
2022-02-23 00:00:00+00:00,4,4,144,74
2022-02-24 00:00:00+00:00,1,1,186,87
2022-02-25 00:00:00+00:00,1,1,136,70
2022-02-26 00:00:00+00:00,3,2,97,32
2022-02-27 00:00:00+00:00,6,4,49,24
2022-02-28 00:00:00+00:00,3,3,175,73
2022-03-01 00:00:00+00:00,5,5,178,73
2022-03-02 00:00:00+00:00,2,2,217,87
2022-03-03 00:00:00+00:00,5,5,207,83
2022-03-04 00:00:00+00:00,6,6,240,100
2022-03-05 00:00:00+00:00,3,2,114,44
2022-03-06 00:00:00+00:00,2,2,66,36
2022-03-07 00:00:00+00:00,4,4,132,87
2022-03-08 00:00:00+00:00,5,1,145,76
2022-03-09 00:00:00+00:00,6,6,180,93
2022-03-10 00:00:00+00:00,1,1,186,86
2022-03-11 00:00:00+00:00,6,6,194,72
2022-03-12 00:00:00+00:00,6,4,95,50
2022-03-13 00:00:00+00:00,11,1,81,33
